id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
144,"PlusMinus - Wenn sich das Gleichgewicht der Welt verschiebt (Postpro)","Deutschland","Dortmund","Film / Video",1000,1010,650,0,17,17,41,2,5,"18.01.13 17:37","28.02.13","http://www.startnext.de/plusminus-postpro"
145,"Großstadtdschungel Geocoin","Deutschland","Dortmund","Design",1500,1536,4,0,98,84,86,33,7,"31.01.13 15:52","28.02.13","http://www.startnext.de/grossstadtdschungel"
146,"Ruf die Presse, es ist Frühling","Deutschland","Overath","Film / Video",1800,1816,1398,0,10,8,37,14,12,"13.12.12 10:57","27.02.13","http://www.startnext.de/glaskuenstler"
147,"JOHNA - Einladung zum 'Canadian music fest' in Toronto ","Deutschland","Köln","Musik",500,500,31,0,18,18,24,13,2,"28.01.13 10:51","27.02.13","http://www.startnext.de/johna-singer-songwriter-pop"
148,"Kaffeekränzchentour & Musik von Senderos? Kuchen con Abuelitas!","Deutschland","Essen","Musik",3000,3051,2276,0,146,141,82,16,7,"09.01.13 10:53","26.02.13","http://www.startnext.de/kaffeekraenzchen-mit-senderos"
149,"Gott und die Welt &#8211, Eine Komödie der anderen Art [Kurzfilm]","Deutschland","Stuttgart","Film / Video",4000,4370,1245,0,113,112,120,17,19,"02.01.13 09:25","26.02.13","http://www.startnext.de/gottunddiewelt"
150,"The Hirsch Effekt - Split LP mit Zinnschauer","Deutschland","Hannover","Musik",1500,3476,139,0,114,102,89,19,7,"24.01.13 12:18","25.02.13","http://www.startnext.de/the-hirsch-effekt-split-lp"
151,"Wir bringen Mickey Monroe in die Deutschen Top 100 Single Charts","Deutschland","München","Musik",10000,11255,321,0,194,110,167,125,4,"21.12.12 11:14","24.02.13","http://www.startnext.de/mickeymonroe"
152,"Agnès Milewski - Almost Spring - Fertigstellung des neuen Albums","Österreich","Wien","Musik",1000,1360,150,0,47,47,64,17,8,"31.12.12 13:59","24.02.13","http://www.startnext.de/agnesmilewski"
153,"Shoe Shine Stories - A Nairobi Documentary","Deutschland","Nairobi","Film / Video",3333,4105,440,0,119,110,109,24,8,"31.01.13 10:58","24.02.13","http://www.startnext.de/shoe-shine-nairobi"
154,"PROTOTYYP - Printmagazin für digitale Förderung von Kultur & Ideen.","Deutschland","Hamburg","Informationsangebot",1800,1832,243,0,7,5,51,6,10,"02.02.13 16:31","24.02.13","http://www.startnext.de/prototyyp-das-magazin"
155,"Filmprojekt: 'Holger & Hanna [und der ganze kranke Rest]' ","Deutschland","Cottbus","Film / Video",5000,7408,123,0,140,133,135,29,2,"28.11.12 15:06","23.02.13","http://www.startnext.de/holgerundhanna"
156,"Neue Single von den No Tits","Deutschland","Langen (Hessen)","Musik",500,761,0,0,28,27,26,24,21,"07.01.13 12:45","23.02.13","http://www.startnext.de/neue-single-von-den-no-tits"
157,"Prinzessinnengarten &#8211, Wachsen lassen!","Deutschland","Berlin","Kulturelle Bildung",22000,24635,7343,3438,598,574,649,85,10,"07.12.12 15:49","18.02.13","http://www.startnext.de/prinzessinnengarten"
158,"'und so w e i t e r. eine tänzerische auseinandersetzung' von ConcEpt2.1","Deutschland","Bochum","Theater",200,215,74,0,18,17,23,3,10,"10.01.13 12:36","17.02.13","http://www.startnext.de/concept2-1"
159,"Fotoausstellung zur Eröffnung des Kinderhospizes Magdeburg ","Deutschland","Magdeburg","Kunst",500,715,345,0,12,10,20,2,2,"15.01.13 12:18","17.02.13","http://www.startnext.de/fotoausstellung-kinderhospiz"
160,"Brez'n trifft Borschtsch - München osteuropäisch","Deutschland","München","Kulturelle Bildung",1200,1530,355,0,55,53,73,10,16,"29.11.12 08:58","15.02.13","http://www.startnext.de/muenchen-osteuropaeisch"
161,"Fotoprojekt anlässlich des Dammer Carnevaljubiläums: 399. Session","Deutschland","Damme","Fotografie",4500,4518,1964,0,31,29,97,7,11,"09.11.12 18:26","15.02.13","http://www.startnext.de/1614-2014phase2"
162,"Das Menschenrechtslogo als Plätzchen-Ausstechform","Deutschland","Duisburg","Design",1400,1656,741,0,78,65,67,21,9,"26.11.12 11:58","15.02.13","http://www.startnext.de/menschenrechts-plaetzchen"
163,"Grimoire Vol.: 1 Wandering Destiny","Deutschland","Berlin","Comic",1500,1677,275,0,56,54,62,18,8,"27.12.12 13:17","15.02.13","http://www.startnext.de/grimoire-vol-1"
164,"Gebt der Herrenmode ein neues Heim!","Deutschland","Köln","Mode",5000,5730,0,0,14,14,73,8,2,"25.01.13 10:47","15.02.13","http://www.startnext.de/herrenausstatter-dikay51"
165,"Kurzfilmprojekt 'Stumm' ","Deutschland","Unna","Film / Video",500,750,97,0,50,47,38,10,6,"28.11.12 18:06","14.02.13","http://www.startnext.de/stumm2012"
166,"CD TRIO ALBA bei MDG","Österreich","Graz","Musik",2500,2569,600,0,30,30,51,16,0,"17.12.12 12:54","14.02.13","http://www.startnext.de/cd-trio-alba-bei-mdg"
167,"Used Bodys","Deutschland","Hamburg","Theater",900,925,220,0,28,24,44,7,18,"21.12.12 17:28","14.02.13","http://www.startnext.de/used-bodys"
168,"The Tune Of Mia","Österreich","Bregenz","Musik",7000,7350,1400,0,82,68,145,28,7,"21.11.12 14:25","13.02.13","http://www.startnext.de/miatune"
169,"'KlangWelten' ein Dokumentarfilm von Hendrik John - Postproduktion","Deutschland","Hamburg","Film / Video",5000,5148,2258,0,77,75,105,34,14,"21.11.12 10:42","13.02.13","http://www.startnext.de/klangwelten"
170,"Bitte Lächeln! - Eine Fotoausstellung von Katrin Chodor","Deutschland","Lüdenscheid","Kunst",500,580,370,0,16,14,57,8,4,"21.01.13 14:29","13.02.13","http://www.startnext.de/bitte-laecheln"
171,"Traveler's Diary - Album/CD (Aufnahme,Produktion,Presswerk,Cover,Promotion)","Deutschland","Dresden","Musik",6000,6436,1476,0,100,97,165,26,15,"13.11.12 10:46","12.02.13","http://www.startnext.de/neuecdvontd"
172,"Herr Kim und Schwester Lotusblüte oder Das Prinzip von Jeong und Han","Deutschland","Berlin","Film / Video",5000,5480,2230,0,73,64,103,55,43,"14.11.12 12:57","12.02.13","http://www.startnext.de/mr-kim-and-sister-lotus"
173,"stoersender.tv mit Dieter Hildebrandt","Deutschland","München","Film / Video",125000,153234,34132,0,3126,3003,3512,2616,37,"07.12.12 16:54","10.02.13","http://www.startnext.de/stoersender"
174,"ON THE ROAD - Theaterkonzert und Live-Hörspiel","Deutschland","Leipzig","Theater",600,695,25,0,33,33,52,8,4,"17.12.12 13:00","09.02.13","http://www.startnext.de/ontheroad"
175,"Albumproduktion Marco & die Elfenbande","Deutschland","Donaueschingen","Musik",14500,14797,9197,0,88,72,144,38,26,"09.11.12 14:03","08.02.13","http://www.startnext.de/elfenbande"
176,"Zwei Frauen und eine Leiche","Österreich","Wien","Theater",3800,3810,3205,0,23,19,78,12,5,"13.12.12 12:16","08.02.13","http://www.startnext.de/2-frauen"
177,"Fortunas Legenden - Tradition kann man nicht kaufen!","Deutschland","Berlin","Film / Video",60000,90262,1387,0,1214,1158,763,186,5,"19.12.12 18:10","08.02.13","http://www.startnext.de/fortunas-legenden"
178,"clair-obscur classic lounge - Saxophon zwischen Club und Klassik","Deutschland","Berlin","Musik",6000,6800,920,0,109,100,124,16,12,"06.12.12 16:54","06.02.13","http://www.startnext.de/clair-obscur-classic-lounge"
179,"Youtube Kanal","Deutschland","Konz","Film / Video",1500,1510,1505,0,18,15,34,22,1,"19.12.12 08:32","04.02.13","http://www.startnext.de/balagorehd"
